#f, meanDTcross, stdDTcross, Opt1_cross, Opt2_cross, Undec_cross, meanDTmddm, stdDTmddm, Opt1_mddm, Opt2_mdd, Undec_mddm
0.5,4.696002186,2.72144606535,0.4817,0.5026,0.0157,3.55526539631,2.78827439183,0.4852,0.5055999999999999,0.0092
1.0,4.7605754355,2.74766208054,0.4815,0.5001,0.0184,3.70518933684,2.82164579262,0.48719999999999997,0.5,0.012799999999999999
1.5,4.7530769564,2.76701748805,0.4919,0.4916,0.0165,3.71346495986,2.85103323407,0.4806,0.5077,0.011700000000000002
2.0,4.79431064016,2.75659682289,0.48650000000000004,0.49910000000000004,0.0144,3.72532521661,2.81716896039,0.498,0.4884,0.013600000000000001
2.5,4.81176357881,2.82045884296,0.5034000000000001,0.4808,0.0158,3.72137050103,2.81007608519,0.4972,0.4897,0.0131
3.0,4.78343668029,2.75189952395,0.4757,0.5063,0.018,3.80711284171,2.8408627723,0.48419999999999996,0.5022,0.0136
3.5,4.80664312385,2.79047565897,0.4904,0.4941,0.0155,3.72098736025,2.80086598483,0.4932,0.49260000000000004,0.0142
4.0,4.80095077295,2.79115647446,0.49360000000000004,0.48869999999999997,0.0177,3.75839354169,2.81732804358,0.49489999999999995,0.49139999999999995,0.0137
4.5,4.78232991169,2.77141569137,0.4877,0.496,0.0163,3.72690450365,2.78908021174,0.4864,0.5005,0.013099999999999999
5.0,4.81593203848,2.81088979795,0.4881,0.4964,0.0155,3.78921858506,2.84686945663,0.49470000000000003,0.49,0.015300000000000001
5.5,4.81696106325,2.78436856469,0.4945,0.4887,0.016800000000000002,3.74424952442,2.79774419675,0.4938,0.49250000000000005,0.0137
6.0,4.80513834905,2.77202238104,0.4944,0.4909,0.014700000000000001,3.78425209193,2.84521887947,0.4928,0.495,0.012199999999999999
6.5,4.81974254179,2.82028614502,0.4973,0.487,0.0157,3.72907055945,2.77457057873,0.4916,0.4935,0.0149
7.0,4.78298732582,2.76690319324,0.4988,0.48319999999999996,0.018000000000000002,3.77595819434,2.79707817849,0.49319999999999997,0.4916,0.015199999999999998
7.5,4.77380544987,2.76573083157,0.492,0.491,0.017,3.77507521016,2.82137651207,0.49329999999999996,0.4926,0.014099999999999998
8.0,4.79845339779,2.77354586155,0.4904,0.49200000000000005,0.0176,3.8047897013,2.82635549366,0.48919999999999997,0.49970000000000003,0.0111
8.5,4.78340362976,2.7613603032,0.49260000000000004,0.4887,0.018699999999999998,3.77519843141,2.84659626434,0.4919,0.49319999999999997,0.0149
9.0,4.82849805184,2.79054533202,0.4935,0.48960000000000004,0.016900000000000002,3.7654044119,2.80526785038,0.49110000000000004,0.497,0.0119
9.5,4.81646543887,2.80358725712,0.49219999999999997,0.4909,0.0169,3.77912789108,2.82269707953,0.5046999999999999,0.4816,0.0137
10.0,4.7867865495,2.76963238252,0.4942,0.4887,0.0171,3.81656726703,2.84733313846,0.481,0.5058,0.0132
