#f, meanDTcross, stdDTcross, Opt1_cross, Opt2_cross, Undec_cross, meanDTmddm, stdDTmddm, Opt1_mddm, Opt2_mdd, Undec_mddm
0.5,1.3870562,0.686748710605,0.41500000000000004,0.585,0.0,1.0396743,0.940044754856,0.4602,0.5398,0.0
1.0,1.6574208,0.63440708917,0.4649,0.5351,0.0,1.2679499,1.13967772086,0.4781,0.5219,0.0
1.5,1.7237347,0.656883066497,0.48410000000000003,0.5159,0.0,1.3663058,1.22276604535,0.47790000000000005,0.5221,0.0
2.0,1.7594006,0.678129118968,0.4858,0.5142,0.0,1.4065377,1.21887951809,0.4892,0.5108,0.0
2.5,1.7868166,0.677436846541,0.4927,0.5073,0.0,1.4533618,1.23754530523,0.4904,0.5096,0.0
3.0,1.8089386,0.688093398751,0.48660000000000003,0.5134000000000001,0.0,1.4813883,1.28154914611,0.492,0.508,0.0
3.5,1.7895093,0.689046400653,0.4976,0.5024,0.0,1.4956172,1.28593605786,0.4883,0.5117,0.0
4.0,1.8073651,0.693276688655,0.4962,0.5038,0.0,1.5098716,1.27097744286,0.4928,0.5072,0.0
4.5,1.8112052,0.691291172578,0.4948,0.5052,0.0,1.5233336,1.25487994973,0.49420000000000003,0.5058,0.0
5.0,1.7988275,0.682036346069,0.4917,0.5083,0.0,1.5084652,1.25620745026,0.48760000000000003,0.5124,0.0
5.5,1.8150084,0.692660276342,0.4945,0.5055000000000001,0.0,1.5272515,1.25805010625,0.49860000000000004,0.5014,0.0
6.0,1.8157985,0.692201040455,0.4925,0.5075000000000001,0.0,1.5150187,1.26898264153,0.4978,0.5022,0.0
6.5,1.8215632,0.687064542945,0.5078,0.49219999999999997,0.0,1.540108,1.26766225899,0.493,0.507,0.0
7.0,1.8209854,0.695704740305,0.4908,0.5092,0.0,1.5045599,1.23367331345,0.493,0.507,0.0
7.5,1.8282045,0.697588612617,0.5091,0.4909,0.0,1.5280569,1.26988652847,0.5005999999999999,0.4994,0.0
8.0,1.8318075,0.714379885936,0.5028,0.4972,0.0,1.5227479,1.22861466785,0.49939999999999996,0.5006,0.0
8.5,1.8352073,0.69953020411,0.49160000000000004,0.5084,0.0,1.5651352,1.29334067682,0.49470000000000003,0.5053,0.0
9.0,1.8209618,0.681962874292,0.5045999999999999,0.4954,0.0,1.5517508,1.30648685432,0.4992,0.5008,0.0
9.5,1.8229371,0.686925401242,0.5038,0.4962,0.0,1.53481503173,1.26742385087,0.4965,0.5034,0.0001
10.0,1.8440533,0.698928965343,0.5005,0.49950000000000006,0.0,1.5208648,1.25643071477,0.49860000000000004,0.5014000000000001,0.0
