#f1, m1, meanDTcross, stdDTcross, Opt1_cross, Opt2_cross, Undec_cross, meanDTmddm, stdDTmddm, Opt1_mddm, Opt2_mdd, Undec_mddm
0.5,0.5,4.61702791256,2.71020013451,0.488,0.4965,0.0155,3.6636978181,2.92192779168,0.5045,0.4825,0.013
0.5,0.6,4.14900507816,2.42648029354,0.4895,0.51,0.0005,3.30426492306,2.6390916602,0.5015,0.49,0.0085
0.5,0.7,3.56241877089,2.01809942854,0.4835,0.5135,0.003,3.0583021831,2.53252815805,0.5085,0.4885,0.003
0.5,0.8,3.18113250902,1.75738644039,0.4825,0.517,0.0005,2.82571356814,2.37063775899,0.4805,0.5185,0.001
0.5,0.9,2.863277,1.56609950038,0.4975,0.5025,0.0,2.52341329359,2.28457740189,0.503,0.496,0.001
0.5,1.0,2.6714775,1.43390604036,0.505,0.495,0.0,2.26704364445,2.077886877,0.5145,0.484,0.0015
0.5,1.1,2.460642,1.24142069653,0.4875,0.5125,0.0,2.13303124248,1.92491297424,0.498,0.5015,0.0005
0.5,1.2000000000000002,2.2882095,1.14524139371,0.4875,0.5125,0.0,2.0087635,1.8986891424,0.5085,0.4915,0.0
0.5,1.3,2.09375,1.07045806668,0.5045,0.4955,0.0,1.87353158116,1.75142268886,0.512,0.4875,0.0005
0.5,1.4,1.9602625,1.00801816188,0.4925,0.5075,0.0,1.757581,1.69115529858,0.4885,0.5115,0.0
0.5,1.5,1.810181,0.950369611903,0.4855,0.5145,0.0,1.6281775,1.57937229362,0.48,0.52,0.0
0.5,1.6,1.691763,0.866331452429,0.4835,0.5165,0.0,1.59431,1.59871382748,0.4905,0.5095,0.0
0.5,1.7000000000000002,1.554619,0.826433563327,0.506,0.494,0.0,1.3865555,1.39117165731,0.4945,0.5055,0.0
0.5,1.8,1.4548725,0.784366115893,0.4795,0.5205,0.0,1.3482715,1.36796611824,0.499,0.501,0.0
0.5,1.9000000000000001,1.367622,0.746402382022,0.496,0.504,0.0,1.370855,1.42713976865,0.4995,0.5005,0.0
0.5,2.0,1.3029085,0.714968734382,0.5005,0.4995,0.0,1.193738,1.23933443929,0.5005,0.4995,0.0
0.5,2.1,1.2029105,0.661263658314,0.5065,0.4935,0.0,1.160735,1.24827146173,0.498,0.502,0.0
0.5,2.2,1.144351,0.618806531834,0.4745,0.5255,0.0,1.098741,1.24742052568,0.487,0.513,0.0
0.5,2.3,1.075233,0.566097658436,0.5135,0.4865,0.0,1.0394605,1.07181250018,0.492,0.508,0.0
0.5,2.4000000000000004,1.014482,0.532029943796,0.4995,0.5005,0.0,0.9678675,1.03675832758,0.497,0.503,0.0
0.5,2.5,0.975566,0.506623074425,0.4945,0.5055,0.0,0.8964115,0.990353775428,0.508,0.492,0.0
