#f1, m1, meanDTcross, stdDTcross, Opt1_cross, Opt2_cross, Undec_cross, meanDTmddm, stdDTmddm, Opt1_mddm, Opt2_mdd, Undec_mddm
0.5,0.5,4.22016650606,2.50789999669,0.749,0.2465,0.0045,3.24762358144,2.49840980074,0.7525,0.2395,0.008
0.5,0.6,3.62194561745,2.14909841309,0.7495,0.249,0.0015,2.89285400666,2.28840401581,0.7575,0.24,0.0025
0.5,0.7,3.1282985,1.77671098136,0.7445,0.2555,0.0,2.57737554008,2.14459188605,0.767,0.2325,0.0005
0.5,0.8,2.825703,1.51222295033,0.7575,0.2425,0.0,2.3568645,1.83537996895,0.771,0.229,0.0
0.5,0.9,2.4748945,1.32002608975,0.771,0.229,0.0,2.0478095,1.62197511335,0.751,0.249,0.0
0.5,1.0,2.18338,1.10918829896,0.753,0.247,0.0,1.9218465,1.55789904522,0.7795,0.2205,0.0
0.5,1.1,2.0346045,1.03363883213,0.7605,0.2395,0.0,1.767668,1.3710087098,0.7695,0.2305,0.0
0.5,1.2000000000000002,1.860605,0.90016590168,0.762,0.238,0.0,1.6568145,1.3359432997,0.741,0.259,0.0
0.5,1.3,1.657132,0.842314167589,0.733,0.267,0.0,1.5115145,1.19701171621,0.742,0.258,0.0
0.5,1.4,1.5616755,0.748458963622,0.7285,0.2715,0.0,1.36687,1.07058988197,0.7305,0.2695,0.0
0.5,1.5,1.479117,0.70741766943,0.745,0.255,0.0,1.311574,1.05375469073,0.7255,0.2745,0.0
0.5,1.6,1.3535105,0.60235135128,0.736,0.264,0.0,1.304345,1.04993437736,0.726,0.274,0.0
0.5,1.7000000000000002,1.2783475,0.554164435717,0.7245,0.2755,0.0,1.1950185,0.924312939961,0.72,0.28,0.0
0.5,1.8,1.199091,0.487346417705,0.711,0.289,0.0,1.150276,0.952479286766,0.717,0.283,0.0
0.5,1.9000000000000001,1.1377035,0.445575600504,0.7085,0.2915,0.0,1.0743705,0.872070950572,0.6775,0.3225,0.0
0.5,2.0,1.084247,0.382818884961,0.709,0.291,0.0,1.020809,0.834632279581,0.7025,0.2975,0.0
0.5,2.1,1.0557305,0.382814644111,0.694,0.306,0.0,0.9592255,0.793886072513,0.6985,0.3015,0.0
0.5,2.2,0.9965245,0.311498764206,0.6955,0.3045,0.0,0.9653795,0.800182329258,0.6865,0.3135,0.0
0.5,2.3,0.976749,0.286697881358,0.698,0.302,0.0,0.901184,0.779307206156,0.6805,0.3195,0.0
0.5,2.4000000000000004,0.9367005,0.261692096277,0.7035,0.2965,0.0,0.885455,0.759816532363,0.6675,0.3325,0.0
0.5,2.5,0.9096515,0.249743355331,0.696,0.304,0.0,0.8804245,0.723505919352,0.6735,0.3265,0.0
0.5,2.6,0.8846525,0.238306634196,0.679,0.321,0.0,0.820479,0.71126755579,0.6575,0.3425,0.0
0.5,2.7,0.8600565,0.218021322726,0.7195,0.2805,0.0,0.785894,0.652041763081,0.659,0.341,0.0
0.5,2.8000000000000003,0.8392905,0.206574751745,0.716,0.284,0.0,0.7513515,0.662337781336,0.667,0.333,0.0
0.5,2.9000000000000004,0.824106,0.200927713971,0.693,0.307,0.0,0.7227825,0.617795874752,0.6345,0.3655,0.0
0.5,3.0,0.816022,0.191465979532,0.6965,0.3035,0.0,0.7097395,0.632878491379,0.6775,0.3225,0.0
