#f1, m1, meanDTcross, stdDTcross, Opt1_cross, Opt2_cross, Undec_cross, meanDTmddm, stdDTmddm, Opt1_mddm, Opt2_mdd, Undec_mddm
0.5,0.5,5.06258589574,2.90179240708,0.605,0.373,0.022,3.69589029731,2.86732100762,0.619,0.37,0.011
0.5,0.6,4.48257830175,2.72124871483,0.6195,0.371,0.0095,3.2008343855,2.57499415876,0.6285,0.3645,0.007
0.5,0.7,3.85951484538,2.24750609383,0.633,0.365,0.002,2.98357269238,2.46615602463,0.6215,0.377,0.0015
0.5,0.8,3.48201950692,2.0340347828,0.6185,0.38,0.0015,2.72454677455,2.33156392427,0.6205,0.378,0.0015
0.5,0.9,3.0890275,1.79313543451,0.584,0.416,0.0,2.445055,2.11940050931,0.622,0.378,0.0
0.5,1.0,2.819716,1.61755244406,0.62,0.38,0.0,2.14610171643,1.83063020794,0.584,0.4155,0.0005
0.5,1.1,2.521961,1.42052940127,0.6105,0.3895,0.0,1.9996615,1.73906285714,0.602,0.398,0.0
0.5,1.2000000000000002,2.3373005,1.28082698923,0.607,0.393,0.0,1.8306515,1.60769016181,0.6045,0.3955,0.0
0.5,1.3,2.123166,1.17621766977,0.584,0.416,0.0,1.6671135,1.36243355926,0.599,0.401,0.0
0.5,1.4,1.987719,1.09604860921,0.599,0.401,0.0,1.5227495,1.30987733227,0.6045,0.3955,0.0
0.5,1.5,1.822171,0.972190887383,0.581,0.419,0.0,1.447988,1.27757408018,0.602,0.398,0.0
0.5,1.6,1.6602265,0.935245337594,0.558,0.442,0.0,1.377197,1.21819727145,0.612,0.388,0.0
0.5,1.7000000000000002,1.559941,0.868765441871,0.576,0.424,0.0,1.2710705,1.05645232029,0.6065,0.3935,0.0
0.5,1.8,1.467838,0.807910299797,0.5645,0.4355,0.0,1.2383125,1.05504190284,0.586,0.414,0.0
0.5,1.9000000000000001,1.3911205,0.763025570695,0.572,0.428,0.0,1.154224,1.02716820775,0.595,0.405,0.0
0.5,2.0,1.296655,0.690850793961,0.5725,0.4275,0.0,1.0732015,0.924967528017,0.5695,0.4305,0.0
0.5,2.1,1.2092725,0.630099473039,0.5815,0.4185,0.0,1.0401065,0.925552423246,0.5915,0.4085,0.0
0.5,2.2,1.1693495,0.607289375573,0.583,0.417,0.0,0.9843315,0.865415456359,0.5755,0.4245,0.0
0.5,2.3,1.1007235,0.547184767737,0.5995,0.4005,0.0,0.909004,0.808915600336,0.572,0.428,0.0
0.5,2.4000000000000004,1.0303815,0.469697045631,0.605,0.395,0.0,0.9362335,0.803775184494,0.58,0.42,0.0
0.5,2.5,1.0105015,0.481324400439,0.6075,0.3925,0.0,0.8553225,0.763461135173,0.577,0.423,0.0
0.5,2.6,0.954591,0.404994247166,0.6105,0.3895,0.0,0.818342,0.734544933703,0.57,0.43,0.0
0.5,2.7,0.9087595,0.350742062962,0.632,0.368,0.0,0.800844,0.711246019109,0.565,0.435,0.0
